website,server,server_version,os,jquery_version,http_only,x_xss_protection,strict_transport_security,cms,cms_version,x_powered_by,x_powered_by_version,x_frame_options,content_security_policy,country,ip
scorphq.com,apache,,,2.1.0,False,0,,,,,,,False,LT,93.188.165.89
rumsdokz.org,Pepyaka,1.15.10,,,True,0,,Wix,,,,,False,US,35.246.6.109
theskillsets.com,apache,,,1.12.4,True,0,,,,PHP,7.2.21,,False,US,148.72.197.189
wp-monero-miner.com,,,,,False,0,,WordPress,5.2.5,PHP,7.3.17,,False,DE,84.200.97.63
1804.biz,nginx,,,,False,0,,Drupal,7,,,,False,,185.68.16.108
tpas.ru,nginx,1.13.1,,,True,1; mode=block,,Magento,,,,,False,RU,213.159.211.48
lightminer.co,nginx,,,3.2.1,False,0,,,,,,,False,GB,88.99.38.225
proffy.info,nginx,,,1.7.2,False,0,,,,PHP,5.3.29,,False,RU,185.35.220.71
ekonomianaliz.com,litespeed,,,1.12.4,False,0,,WordPress,4.9.6,PHP,5.6.40,,False,TR,93.89.224.71
rootologyhealth.com,microsoft-IIS,8,,,True,0,,,,ASP.NET,,,False,US,70.34.34.32
oslafo.com,nginx,,,,True,0,,,,PleskLin,,,False,,185.50.197.91
europe-cinema.ru,nginx,1.14.1,,1.8.3,True,0,,,,,,,False,RU,188.225.61.146
browsermine.com,nginx,,,3.2.1,False,0,,,,,,,False,GB,88.99.38.225
punjabimaa.com,microsoft-IIS,8,,,True,0,,,,,,,False,US,143.95.251.77
nahnoji.cz,ServeRick,,,2.0.3,False,0,,,,,,,False,CZ,88.86.123.38
vstars.pl,nginx,,,1.12.4,False,1; mode=block,,WordPress,4.9.12,,,,False,US,54.38.184.47
imarketor.com,,,,,True,0,,WordPress,5.4,,,,False,,185.88.153.186
enter-books.com,cloudflare,,,1.12.4,True,0,,WordPress,4.7.16,PHP,5.6.30,,False,US,104.27.137.234
apexfiles.info,apache,,,,False,0,,,,PHP,5.2.17,,False,US,74.208.236.7
russiannurse.ru,litespeed,,,,False,0,,Joomla,1.5,PHP,5.2.17,,False,RU,91.218.228.14
critch-comedy.de,apache,,,1.12.4,False,0,,WordPress,4.6.17,,,,False,DE,78.46.10.196
philagora.net,apache,,,,False,0,,,,,,,False,,185.140.47.156
magazineagain.com,cloudflare,,,,True,0,,WordPress,,,,,False,US,104.28.16.19
vashatolstovka.ru,nginx,1.13.4,,1.11.0,False,0,,WordPress,4.9.3,PHP,5.6.40,,False,RU,87.236.16.148
serieshdpormega.com,cloudflare,,,1.12.4,True,0,,WordPress,4.9.13,,,,False,US,104.31.82.86
8teenz.info,apache,,,,False,0,,,,,,,False,US,166.62.73.196
textilprofi.ru,nginx,1.14.1,,,False,0,,WordPress,5.3.2,,,,False,RU,92.53.96.108
camerahacker.com,cloudflare,,,,True,0,,,,PHP,5.3.5-1ubuntu7.4,,False,US,104.28.6.95
atashafroz.ir,Toofun,1.0.1,,,False,0,,,,,,,False,IR,5.144.133.146
4a.by,nginx,1.18.0,,1.12.4,False,0,,,,PHP,5.3.29,,False,BY,93.125.99.46
megaoboishop.ru,nginx,1.16.0,,1.11.1,True,0,,,,PHP,5.6.40,,False,RU,5.101.125.31
mekshat.com,nginx,,,1.7.1,False,0,,,,PHP,5.4.45,,False,GB,37.220.12.242
300mbfilms.org,nginx,1.17.0,,,False,1;mode=block,,WordPress,5.4,PHP,7.0.33,,False,FR,195.154.187.16
300mbfilms.io,nginx,1.17.0,,,False,1;mode=block,,WordPress,5.4,PHP,7.0.33,,False,FR,195.154.187.16
rawnylonthumbs.com,apache,,,,False,0,,,,,,,False,US,54.39.67.177
kickass.cd,cloudflare,,,1.11.3,True,0,,,,PHP,5.6.40,,False,US,104.27.158.29
irc.lc,nginx,1.6.2,,,False,0,,,,,,,False,FR,91.121.108.50
mobaskins.com,apache,,,,False,0,,WordPress,5.2.5,,,,False,US,50.87.145.130
informationhospitaliere.com,apache,2.2.22,Debian Linux,,False,0,,,,PHP,5.4.45-0+deb7u14,,False,FR,91.121.88.78
2001online.com,apache,2.2.15,CentOS,1.12.4,False,0,,,,PHP,5.3.3,,False,US,168.62.177.63
thepiratebay.cr,cloudflare,,,,True,0,,,,PHP,5.6.40,,False,US,104.31.92.208
pornfromcz.com,apache,,,1.12.4,False,0,,WordPress,4.9.13,,,,False,CZ,46.28.106.34
thepiratebay.cd,cloudflare,,,,True,0,,,,PHP,5.6.40,,False,US,104.24.102.139
gceguide.xyz,cloudflare,,,,True,0,,WordPress,5.3.2,,,,False,US,104.27.152.56
trombadewebber.com,apache,,,,False,0,,WordPress,5.4,,,,False,US,50.87.140.158
hobby-country.ru,nginx,1.13.4,,,False,0,,WordPress,5.3.2,PHP,7.3.12,,False,RU,87.236.16.15
instagrammi.ru,nginx,1.13.4,,1.11.3,False,0,,WordPress,4.3.22,PHP,5.6.40,,False,RU,87.236.16.56
caribbean360.com,litespeed,,,,False,0,,WordPress,5.4,,,,False,US,67.222.150.127
iptvsensei.ru,nginx,1.13.4,,,False,0,,WordPress,5.4,PHP,7.3.12,,False,RU,87.236.19.178
journalcra.com,apache,,,,False,0,,Drupal,7,,,,False,US,192.254.139.247
myjob.uz,microsoft-IIS,7.5,,,False,0,,,,ASP.NET,,,False,RU,83.221.163.248
promoavon.ru,nginx,1.13.4,,1.12.4,False,0,,WordPress,,PHP,7.1.33,,False,RU,87.236.16.224
sinemapol.org,cloudflare,,,,True,0,,WordPress,5.4,,,,False,US,104.28.14.76
